,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
3428,College Diploma (DCS) Arts & Sciences ,Arts & Science Studies,2 Year(s),4 Month(s),Camosun College (Lansdowne),CO-OP
3429,Bachelor Sciences ,Behavioral Neuroscience,4 Year(s),4 Month(s),Simon Fraser University,CO-OP
3430,College Diploma (DCS) ,Arboriculture,1 Year(s),4 Month(s),Fleming College,CO-OP
3431,Applied Degree ,Applied Health Information Science,3 Year(s),4 Month(s),Conestoga College,CO-OP
3432,College Diploma (DCS) Environment ,Applied Geology Technician,2 Year(s),+4 Month(s),Fleming College,CO-OP
3433,College Diploma (DCS) Applied technology ,Air Conditionning and Refrigeration Engineering Technician,2 Year(s),4 Month(s),Humber College,CO-OP
3434,Bachelor Sciences ,Agricultural and Food Sciences,4 Year(s),4 Month(s),University of Manitoba,CO-OP
3435,College Diploma (DCS) ,Agriculture,2 Year(s),5 Month(s),University of Manitoba,CO-OP
3436,College Diploma (DCS) Business administration ,Agriculture & agribusiness,2 Year(s),20 Month(s),Assiniboine Community College,CO-OP
3437,Bachelor Arts ,"Classical, Near Eastern & Religious Studies",5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3438,Bachelor Engineering ,Civil Engineering and Society,5 Year(s),4 - 16 Month(s),McMaster University,CO-OP
3439,Bachelor Sciences ,Applied Biology,3-4 Year(s),4 Month(s),University of Winnipeg,CO-OP
3440,College Diploma (DCS) ,Accounting and Payroll,2 Year(s),4 Month(s),Seneca College,CO-OP
3441,Bachelor Arts ,Acting,5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3442,Bachelor Sciences ,Actuarial & Financial Mathematics,5 Year(s),4 Month(s),McMaster University,CO-OP
3443,Bachelor Sciences ,Biology and Pharmacology,5 Year(s),4 Month(s),McMaster University,CO-OP
3444,Bachelor Business administration ,Business Administration - General Management,4.5 Year(s),4 Month(s),Brock University,CO-OP
3445,Master Sciences ,Cognitive and Neuropsychology,2 Year(s),4 Month(s),Saint Mary's University,CO-OP
3446,College Diploma (DCS) ,Aboriginal - Community and Social Development,2 Year(s),4 Month(s),Georgian College  ,CO-OP
