academic_level_area_of_study_f,academic_level_area_of_study_e,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,program_type_e,program_type_f
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Electrical Engineering Technician,Technicien en génie électrique,2 Year(s),2 Année(s),16 Week(s),16 Semaine(s),Algonquin College of Applied Arts and Technology (Ottawa),Algonquin College of Applied Arts and Technology (Ottawa),Matt Wheatley,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Electrical Engineering Technology,Technologie du génie électrique,3 Year(s),3 Année(s),16 Week(s),16 Semaine(s),Algonquin College of Applied Arts and Technology (Ottawa),Algonquin College of Applied Arts and Technology (Ottawa),Matt Wheatley,CO-OP,Coopératif
Certificat de deuxième cycle Génie ,Graduate Certificate Engineering ,Energy Management,Gestion de l'énergie,1 Year(s),1 Année(s),16 Week(s),16 Semaine(s),Algonquin College of Applied Arts and Technology (Ottawa),Algonquin College of Applied Arts and Technology (Ottawa),Matt Wheatley,CO-OP,Coopératif
Maîtrise Génie ,Master Engineering ,Advanced Materials and Manufacturing,Matériaux avancés et fabrication ,2 Year(s),2 Année(s),16 Week(s),16 Semaine(s),University of Ottawa,Université d'Ottawa,Omba Dimanche,CO-OP,Coopératif
Maîtrise Génie ,Master Engineering ,Mechanical Engineering,Génie mécanique,2 Year(s),2 Année(s),16 Week(s),16 Semaine(s),University of Ottawa,Université d'Ottawa,Omba Dimanche,CO-OP,Coopératif
Baccalauréat Commerce,Bachelor Commerce,Management,Gestion,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Guelph,University of Guelph,Tyler Clark,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Political Science,Science Politique ,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Guelph,University of Guelph,Paula  Stortz,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,International Development Studies,Études de développement international,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Guelph,University of Guelph,Paula  Stortz,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Environmental Geomatics,Géomatique environnementale,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Guelph,University of Guelph,Lindsay Peddle,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Architectural Technology,Technologie architecturale,3 Year(s),3 Année(s),15 Week(s),15 Semaine(s),George Brown College,George Brown College,J.D. Oxford,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Civil Engineering Technology,Technologie du génie civil,3 Year(s),3 Année(s),15 Week(s),15 Semaine(s),George Brown College,George Brown College,J.D. Oxford,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Interior Design Technology,Technologie de design intérieur,3 Year(s),3 Année(s),15 Week(s),15 Semaine(s),George Brown College,George Brown College,J.D. Oxford,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Mechanical Technician - CNC & Precision Machining,Technicien en mécanique - usinage CNO et de précision,2 Year(s),2 Année(s),15 Week(s),15 Semaine(s),George Brown College,George Brown College,J.D. Oxford,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Materials and Nanosciences,Matériaux et Nanosciences,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Life Physics,Physique de la vie,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Santé publique ,Bachelor Public Health ,Public Health,Santé publique,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Actuarial Science - Finance Option,Actuariat - Option finance,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Actuarial Science - Predictive Analytics Option,Actuariat - Option d'analyse prédictive,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Applied Mathematics - Biology Option,Mathématiques appliquées - Option de biologie,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Applied Mathematics - Earth Sciences Option,Mathématiques appliquées - Option sciences de la terre,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Financial Analysis and Risk Management (FARM) - Chartered Financial Analyst Specialization,Analyse financière et gestion des risques- Spécialisation en analyste financier agréé,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Financial Analysis and Risk Management (FARM) - Professional Risk Management Specialization,Analyse financière et gestion des risques- Spécialisation en gestion des risques professionnels,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Mathematical Optimization (Business Specialization),Optimisation mathématique (Spécialisation en affaires),5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,"Mathematical Optimization (Operations Research Specialization), ",Optimisation mathématique (Spécialisation en recherche opérationnelle),5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences de l'informatique ,Bachelor Computer Sciences ,Computer Science,Informatique,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Computer Science - Bioinformatics Option,Informatique - Option bioinformatique,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Computer Science - Business Option,Informatique - Option d'affaires,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Computer Science - Computational Fine Arts Option,Informatique - Option beaux-arts computationnel,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Computer Science - Digital Hardware Option,Informatique - Option de matériel numérique,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Computer Science - Human-Computer Interaction Option,Informatique - Option d'interaction  personne-machine,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Biostatistics,Biostatistique,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Data Science,Science des Données,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Mathematical Finance,Mathématiques financières,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Information Technology Management,Gestion des technologies de l'information,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Mathematical Economics,L'économie mathématique,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
